"ind_1_angle_L1.Y","ind_1_angle_L2.Y","ind_1_angle_L3.Y","ind_1_angle_IN23.Y","ind_2_angle_L1.Y","ind_2_angle_L2.Y","ind_2_angle_L3.Y","ind_2_angle_IN23.Y","ind_3_angle_L1.Y","ind_3_angle_L2.Y","ind_3_angle_L3.Y","ind_3_angle_IN23.Y","time","mean_L1.Y","mean_L2.Y","mean_L3.Y","mean_IN23.Y"
229.113963652457,160.88975997389,NA,192.060700497939,213.623744353488,140.551565170397,180.109779685389,172.11736222735,132.982382495847,207.505453471894,168.251084263133,175.806790036441,2023-12-08 16:00:00,191.906696833931,169.648926205394,174.180431974261,179.994950920577
131.681412134012,200.797491143781,174.92693277185,175.806790036441,227.438507463684,165.469672177359,NA,192.060700497939,215.299685852709,139.599771588857,178.373931023095,172.11736222735,2023-12-08 17:00:00,191.473201816802,168.622311636666,176.650431897472,179.994950920577
228.307643773765,136.016812333262,190.691795868612,177.22198567303,138.992842326966,202.917128051453,174.834214142564,175.806790036441,225.394037335071,159.742737040684,169.385465371664,192.060700497939,2023-12-08 18:00:00,197.564841145267,166.2255591418,178.303825127613,181.696492069137
229.113963652457,159.765903887996,NA,192.060700497939,215.015144967169,139.295462996649,182.126780869767,172.11736222735,133.033215600356,207.505453471894,168.251084263133,175.806790036441,2023-12-08 19:00:00,192.38744140666,168.855606785513,175.18893256645,179.994950920577
131.681412134012,200.797491143781,173.597650652803,175.806790036441,227.438507463684,163.12023643954,NA,192.060700497939,215.299685852709,139.599771588857,178.373931023095,172.11736222735,2023-12-08 20:00:00,191.473201816802,167.839166390726,175.985790837949,179.994950920577
227.197702249234,134.67162746271,190.691795868612,172.11736222735,136.318432888862,205.220734075274,173.840881988776,175.806790036441,225.394037335071,159.742737040684,169.385465371664,192.060700497939,2023-12-08 21:00:00,196.303390824389,166.545032859556,177.972714409684,179.994950920577
229.113963652457,159.765903887996,NA,192.060700497939,216.720075540108,136.932557901792,182.863756324076,172.11736222735,131.208614400151,209.264594891022,164.52290525959,175.806790036441,2023-12-08 22:00:00,192.347551197572,168.654352226936,173.693330791833,179.994950920577
131.587857619793,200.797491143781,173.597650652803,175.806790036441,227.438507463684,163.451104717668,NA,192.060700497939,215.299685852709,136.455265618024,183.31448630533,172.11736222735,2023-12-08 23:00:00,191.442016978729,166.901287159824,178.456068479067,179.994950920577
225.658382374836,134.67162746271,190.691795868612,172.11736222735,133.751839823449,207.942863483263,170.870708405513,175.806790036441,225.394037335071,159.742737040684,169.385465371664,192.060700497939,2023-12-09,194.934753177785,167.452409328885,176.982656548596,179.994950920577
229.113963652457,160.945367960906,NA,192.060700497939,219.131151539326,133.35593132902,188.911820794781,172.11736222735,131.208614400151,211.108306164567,164.52290525959,175.806790036441,2023-12-09 01:00:00,193.151243197311,168.469868484831,176.717363027186,179.994950920577
131.587857619793,200.797491143781,174.884894220113,175.806790036441,227.438507463684,161.99763158317,NA,192.060700497939,216.503285128975,136.455265618024,189.318126349253,172.11736222735,2023-12-09 02:00:00,191.843216737484,166.416796114992,182.101510284683,179.994950920577
224.617267472899,134.44994792405,189.512368469648,172.11736222735,132.033521194356,209.099471584764,169.764409970262,175.806790036441,225.394037335071,159.65137511217,169.385465371664,192.060700497939,2023-12-09 03:00:00,194.014942000775,167.733598206995,176.220747937191,179.994950920577
229.113963652457,160.945367960906,NA,192.060700497939,222.807807201263,133.35593132902,193.583275709652,172.11736222735,131.208614400151,212.811144641018,164.971776905747,175.806790036441,2023-12-09 04:00:00,194.376795084623,169.037481310315,179.2775263077,179.994950920577
132.100363395472,200.797491143781,173.785198956282,175.806790036441,227.438507463684,161.357105381738,NA,192.060700497939,216.503285128975,138.738226711259,191.198465179578,172.11736222735,2023-12-09 05:00:00,192.014051996044,166.964274412259,182.49183206793,179.994950920577
222.880687591233,134.44994792405,189.512368469648,172.11736222735,130.479026983457,212.158158628322,169.764409970262,175.806790036441,225.394037335071,159.65137511217,170.003427932301,192.060700497939,2023-12-09 06:00:00,192.917917303253,168.753160554847,176.426735457404,179.994950920577
229.113963652457,160.945367960906,NA,192.060700497939,225.200145259203,133.35593132902,193.338157225901,172.11736222735,131.208614400151,212.811144641018,164.389414653094,175.806790036441,2023-12-09 07:00:00,195.174241103937,169.037481310315,178.863785939498,179.994950920577
133.671253489648,199.048847932863,173.785198956282,175.806790036441,227.438507463684,157.911775283923,NA,192.060700497939,221.556766804862,138.738226711259,194.322844768597,172.11736222735,2023-12-09 08:00:00,194.222175919398,165.232949976015,184.05402186244,179.994950920577
219.881532406824,132.23985559627,188.917122176928,172.11736222735,130.479026983457,212.331287119916,168.674387618507,175.806790036441,225.394037335071,159.65137511217,170.003427932301,192.060700497939,2023-12-09 09:00:00,191.91819890845,168.074172609452,175.864979242579,179.994950920577
229.113963652457,160.945367960906,NA,192.060700497939,225.923502205495,131.920894418704,195.026761600075,172.11736222735,130.250861831155,212.811144641018,164.389414653094,175.806790036441,2023-12-09 10:00:00,195.096109229702,168.559135673543,179.708088126585,179.994950920577
134.75365467276,199.910585921153,172.997103241509,175.806790036441,227.438507463684,157.911775283923,NA,192.060700497939,221.556766804862,135.965496909982,197.679074358815,172.11736222735,2023-12-09 11:00:00,194.582976313769,164.595952705019,185.338088800162,179.994950920577
217.625686927827,133.602935727092,186.356072193403,172.11736222735,129.988762031156,212.331287119916,168.674387618507,175.806790036441,225.394037335071,159.65137511217,170.003427932301,192.060700497939,2023-12-09 12:00:00,191.002828764684,168.52853265306,175.011295914737,179.994950920577
229.113963652457,160.945367960906,NA,192.060700497939,227.579304208359,132.089619298447,200.298079903854,172.11736222735,130.250861831155,212.811144641018,164.389414653094,175.806790036441,2023-12-09 13:00:00,195.648043230657,168.615377300124,182.343747278474,179.994950920577
134.75365467276,191.060059730349,172.997103241509,175.806790036441,227.438507463684,157.911775283923,NA,192.060700497939,223.54944416877,133.489446024983,193.62840171054,172.11736222735,2023-12-09 14:00:00,195.247202101738,160.820427013085,183.312752476024,179.994950920577
216.054969524391,134.293896580397,182.953583025016,172.11736222735,129.988762031156,212.331287119916,168.674387618507,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-09 15:00:00,189.725819804584,168.758852937494,173.712586066645,179.994950920577
229.113963652457,160.945367960906,166.940069347221,192.060700497939,227.579304208359,132.089619298447,197.733332273983,172.11736222735,130.250861831155,212.530286622678,162.106546992458,175.806790036441,2023-12-09 16:00:00,195.648043230657,168.521757960677,175.593316204554,179.994950920577
136.386438561992,195.997432536478,176.152663703081,175.806790036441,223.115113974122,159.565513598475,NA,192.060700497939,223.54944416877,133.489446024983,192.387451176118,172.11736222735,2023-12-09 17:00:00,194.350332234961,163.017464053312,184.270057439599,179.994950920577
213.356465423293,143.046244654358,180.122690675202,172.11736222735,130.380790542725,211.732046900393,168.674387618507,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-09 18:00:00,188.956994608075,171.47655555564,172.768955283374,179.994950920577
229.113963652457,161.725167238333,170.338305963681,192.060700497939,227.579304208359,132.089619298447,197.428895996566,172.11736222735,130.250861831155,210.849952178299,162.106546992458,175.806790036441,2023-12-09 19:00:00,195.648043230657,168.221579571693,176.624582984235,179.994950920577
137.653566627442,197.07578551879,179.469769778069,175.806790036441,223.115113974122,159.079716714555,NA,192.060700497939,223.54944416877,133.489446024983,192.387451176118,172.11736222735,2023-12-09 20:00:00,194.772708256778,163.214982752776,185.928610477094,179.994950920577
212.534427418772,147.998526769312,180.12217749408,172.11736222735,130.454860863454,211.310850987952,167.941622985653,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-09 21:00:00,188.70767204681,172.986917623145,172.524529345382,179.994950920577
229.113963652457,163.037805053167,169.619183280237,192.060700497939,226.631736676345,132.717673775271,195.656973370713,172.11736222735,130.010057928597,211.950144253475,162.050569790668,175.806790036441,2023-12-09 22:00:00,195.251919419133,169.235207693971,175.775575480539,179.994950920577
139.704893984163,197.445564812361,180.311081530108,175.806790036441,223.115113974122,159.079716714555,NA,192.060700497939,223.54944416877,133.489446024983,192.189752067226,172.11736222735,2023-12-09 23:00:00,195.456484042352,163.338242517299,186.250416798667,179.994950920577
212.534427418772,148.839948711474,178.983546801493,172.11736222735,130.454860863454,209.924603603115,167.941622985653,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-10,188.70767204681,172.805309142253,172.144985781186,179.994950920577
229.113963652457,163.037805053167,170.801224523185,192.060700497939,225.200145259203,132.717673775271,193.229387905711,172.11736222735,130.010057928597,212.852783256365,162.050569790668,175.806790036441,2023-12-10 01:00:00,194.774722280085,169.536087361601,175.360394073188,179.994950920577
140.864730653489,198.694879971652,179.486929758666,175.806790036441,225.394037335071,159.079716714555,NA,192.060700497939,223.54944416877,133.489446024983,192.189752067226,172.11736222735,2023-12-10 02:00:00,196.602737385777,163.75468090373,185.838340912946,179.994950920577
209.706274915635,149.72391377186,178.983546801493,172.11736222735,130.827553819311,208.732605477933,167.941622985653,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-10 03:00:00,187.88918553105,172.702631453988,172.144985781186,179.994950920577
227.828349011863,163.873566790951,170.801224523185,192.060700497939,223.788452969871,132.717673775271,192.636053460992,172.11736222735,130.010057928597,212.852783256365,161.20939284573,175.806790036441,2023-12-10 04:00:00,193.87561997011,169.814674607529,174.882223609969,179.994950920577
140.864730653489,199.385197456217,179.486929758666,175.806790036441,222.03263918853,159.800398483025,NA,192.060700497939,223.54944416877,133.489446024983,191.822630074025,172.11736222735,2023-12-10 05:00:00,195.48227133693,164.225013988075,185.654779916345,179.994950920577
209.706274915635,149.72391377186,178.983546801493,172.11736222735,130.827553819311,207.768177549281,167.941622985653,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-10 06:00:00,187.88918553105,172.381155477771,172.144985781186,179.994950920577
227.828349011863,164.05517094973,170.670690380675,192.060700497939,221.863892154408,135.31063237463,190.584786152192,172.11736222735,130.010057928597,212.852783256365,161.809442727599,175.806790036441,2023-12-10 07:00:00,193.234099698289,170.739528860242,174.354973086822,179.994950920577
140.864730653489,199.385197456217,179.494204958332,175.806790036441,223.115113974122,162.020085822597,NA,192.060700497939,223.54944416877,133.489446024983,191.822630074025,172.11736222735,2023-12-10 08:00:00,195.84309626546,164.964909767932,185.658417516178,179.994950920577
209.706274915635,149.72391377186,178.983546801493,172.11736222735,135.35103071179,208.101765434867,167.941622985653,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-10 09:00:00,189.397011161877,172.492351439632,172.144985781186,179.994950920577
227.828349011863,164.05517094973,170.670690380675,192.060700497939,218.675572253093,135.31063237463,187.363870409774,172.11736222735,130.010057928597,210.66546324816,161.408868549655,175.806790036441,2023-12-10 10:00:00,192.171326397851,170.01042219084,173.147809780035,179.994950920577
141.080922651614,200.638237747638,177.914529445944,175.806790036441,225.394037335071,162.020085822597,NA,192.060700497939,223.54944416877,133.489446024983,186.352298041003,172.11736222735,2023-12-10 11:00:00,196.674801385152,165.382589865072,182.133413743474,179.994950920577
209.706274915635,148.653226558709,178.983546801493,172.11736222735,135.35103071179,204.742308535621,166.925497739839,175.806790036441,223.133727858205,159.65137511217,169.509787556412,192.060700497939,2023-12-10 12:00:00,189.397011161877,171.0156367355,171.806277365915,179.994950920577
227.828349011863,164.05517094973,164.237768473825,192.060700497939,217.785485855111,133.239042240884,181.412117566948,172.11736222735,130.502938009277,208.971447334137,162.52472883066,175.806790036441,2023-12-10 13:00:00,192.038924292084,168.755220174917,169.391538290478,179.994950920577
141.080922651614,200.638237747638,177.914529445944,175.806790036441,225.394037335071,162.020085822597,170.003427932301,192.060700497939,221.6357550878,133.875452643974,186.558307238673,172.11736222735,2023-12-10 14:00:00,196.036905024828,165.511258738069,178.158754872306,179.994950920577
211.784966805987,147.511124910342,178.983546801493,172.11736222735,135.912550149814,203.678911626756,169.743201287771,175.806790036441,223.133727858205,159.65137511217,169.805241004538,192.060700497939,2023-12-10 15:00:00,190.277081604669,170.280470549756,172.843996364601,179.994950920577
227.828349011863,164.05517094973,162.29606316471,192.060700497939,217.785485855111,135.277833534868,180.723130459964,172.11736222735,130.502938009277,208.03753082411,163.517744500815,175.806790036441,2023-12-10 16:00:00,192.038924292084,169.123511769569,168.84564604183,179.994950920577
139.509198595747,201.369744013984,176.900646960814,175.806790036441,225.394037335071,162.020085822597,169.764409970262,192.060700497939,219.80365270587,134.755423852791,185.113414834982,172.11736222735,2023-12-10 17:00:00,194.902296212229,166.048417896457,177.259490588686,179.994950920577
212.43420182667,145.597261786389,178.979515355747,172.11736222735,137.550802607883,201.503979781358,173.795917372784,175.806790036441,223.133727858205,159.65137511217,169.595212008682,192.060700497939,2023-12-10 18:00:00,191.039577430919,168.917538893306,174.123548245738,179.994950920577
227.828349011863,164.05517094973,161.858781526577,192.060700497939,217.770563153439,139.634396653443,179.091249208838,172.11736222735,130.502938009277,208.03753082411,163.270639045306,175.806790036441,2023-12-10 19:00:00,192.033950058193,170.575699475761,168.073556593574,179.994950920577
137.204286607164,201.461659350423,176.900646960814,175.806790036441,225.394037335071,162.952232617192,168.359874571112,192.060700497939,219.80365270587,138.371671572702,183.651080878039,172.11736222735,2023-12-10 20:00:00,194.133992216035,167.595187846773,176.303867469988,179.994950920577
214.203344154636,143.931281900098,179.883014055228,172.11736222735,137.550802607883,201.4488903189,175.63821596429,175.806790036441,223.133727858205,159.65137511217,169.595212008682,192.060700497939,2023-12-10 21:00:00,191.629291540241,168.34384911039,175.0388140094,179.994950920577
227.828349011863,164.05517094973,162.045221296021,192.060700497939,215.877052019841,141.629225424065,179.091249208838,172.11736222735,130.502938009277,208.03753082411,163.270639045306,175.806790036441,2023-12-10 22:00:00,191.402779680327,171.240642399302,168.135703183388,179.994950920577
137.119391815047,200.31765552329,176.401024856964,175.806790036441,225.394037335071,162.952232617192,168.359874571112,192.060700497939,219.084342709238,138.371671572702,183.651080878039,172.11736222735,2023-12-10 23:00:00,193.865923953119,167.213853237728,176.137326768705,179.994950920577
215.669048568734,142.828795396431,180.616943725924,172.11736222735,137.550802607883,201.4488903189,175.63821596429,175.806790036441,223.133727858205,159.65137511217,169.595212008682,192.060700497939,2023-12-11,192.117859678274,167.976353609167,175.283457232965,179.994950920577
227.828349011863,163.217193256477,NA,192.060700497939,215.877052019841,141.629225424065,179.091249208838,172.11736222735,130.913600854119,208.03753082411,162.828480781977,175.806790036441,2023-12-11 01:00:00,191.539667295274,170.961316501551,170.959864995408,179.994950920577
133.105939128072,205.449405150059,176.401024856964,175.806790036441,225.394037335071,163.346695685947,167.636098849135,192.060700497939,219.084342709238,138.371671572702,180.861021739701,172.11736222735,2023-12-11 02:00:00,192.528106390794,169.055924136236,174.966048481934,179.994950920577
219.753110434015,135.317241369677,185.276532234774,172.11736222735,139.570275241033,201.4488903189,175.63821596429,175.806790036441,223.133727858205,159.65137511217,169.595212008682,192.060700497939,2023-12-11 03:00:00,194.152371177751,165.472502266916,176.836653402582,179.994950920577
